article_name|machine_question|human_question|is_yes_no_machine_question|type_machine_question|is_yes_no_human_question|type_human_question|match_yes_no_type_question|match_type_question|f1_char_score|jaccard_similarity|jaccard_similarity_bigrams|overlap_coefficient
Abraham_Lincoln|When did Lincoln die?|Was Abraham Lincoln the sixteenth President of the United States?|0|When/Why|1|Yes/No|0|0|0.6666666666666666|0.08333333333333337|0.0|0.25
Abraham_Lincoln|When did Lincoln die?|Was Abraham Lincoln the sixteenth President of the United States?|0|When/Why|1|Yes/No|0|0|0.6666666666666666|0.08333333333333337|0.0|0.25
Abraham_Lincoln|When did Lincoln die?|Did Lincoln sign the National Banking Act of 1863?|0|When/Why|1|Yes/No|0|0|0.5945945945945945|0.18181818181818177|0.0|0.5
Abraham_Lincoln|When did Lincoln die?|Did Lincoln sign the National Banking Act of 1863?|0|When/Why|1|Yes/No|0|0|0.5945945945945945|0.18181818181818177|0.0|0.5
Abraham_Lincoln|When did Lincoln die?|Did his mother die of pneumonia?|0|When/Why|1|Yes/No|0|0|0.5517241379310345|0.25|0.0|0.5
Abraham_Lincoln|When did Lincoln die?|Did his mother die of pneumonia?|0|When/Why|1|Yes/No|0|0|0.5517241379310345|0.25|0.0|0.5
Abraham_Lincoln|When did Lincoln die?|How many long was Lincoln's formal education?|0|When/Why|0|How|1|0|0.5882352941176471|0.0|0.0|0.0
Abraham_Lincoln|When did Lincoln die?|How many long was Lincoln's formal education?|0|When/Why|0|How|1|0|0.5882352941176471|0.0|0.0|0.0
Abraham_Lincoln|When did Lincoln die?|When did Lincoln begin his political career?|0|When/Why|0|When/Why|1|1|0.7741935483870968|0.375|0.2857142857142857|0.75
Abraham_Lincoln|When did Lincoln die?|When did Lincoln begin his political career?|0|When/Why|0|When/Why|1|1|0.7741935483870968|0.375|0.2857142857142857|0.75
Abraham_Lincoln|When did Lincoln die?|What did The Legal Tender Act of 1862 establish?|0|When/Why|0|What/Where/Who|1|0|0.6486486486486487|0.08333333333333337|0.0|0.25
Abraham_Lincoln|When did Lincoln die?|What did The Legal Tender Act of 1862 establish?|0|When/Why|0|What/Where/Who|1|0|0.6486486486486487|0.08333333333333337|0.0|0.25
Abraham_Lincoln|When did Lincoln die?|Who suggested Lincoln grow a beard?|0|When/Why|0|What/Where/Who|1|0|0.7499999999999999|0.11111111111111116|0.0|0.25
Abraham_Lincoln|When did Lincoln die?|Who suggested Lincoln grow a beard?|0|When/Why|0|What/Where/Who|1|0|0.7499999999999999|0.11111111111111116|0.0|0.25
Abraham_Lincoln|When did Lincoln die?|When did the Gettysburg address argue that America was born?|0|When/Why|0|When/Why|1|1|0.5882352941176471|0.16666666666666663|0.09090909090909094|0.5
