article_name|human_question|is_yes_no_type_question|question_type|human_answer|machine_answer|is_yes_no_type_human_answer|is_yes_no_type_machine_answer|is_coherent_type_human_answer|is_coherent_type_machine_answer|f1_char_score|jaccard_similarity|jaccard_similarity_bigrams|overlap_coefficient|word_count_human|n_content_words_human|n_relevant_words_human|conciseness_score_human|has_verb_human|has_subject_human|has_reasonable_length_human|n_unique_POS_human|has_coherent_structure_human|fluency_score_human|word_count_machine|n_content_words_machine|n_relevant_words_machine|conciseness_score_machine|has_verb_machine|has_subject_machine|has_reasonable_length_machine|n_unique_POS_machine|has_coherent_structure_machine|fluency_score_machine
Alessandro_Volta|Was Volta an Italian physicist?|1|Yes/No|yes|Alessandro Giuseppe Antonio Anastasio Volta (, Italian: [alesˈsandro ˈvɔlta]; 18 February 1745 – 5 March 1827) was an Italian physicist and chemist|1|0|1|0|0.13333333333333333|0.0|0.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|28|4|21|0.19047619047619047|0|1|0|9|0|0.4
Alessandro_Volta|Was Volta an Italian physicist?|1|Yes/No|yes|Alessandro Giuseppe Antonio Anastasio Volta (, Italian: [alesˈsandro ˈvɔlta]; 18 February 1745 – 5 March 1827) was an Italian physicist and chemist|1|0|1|0|0.13333333333333333|0.0|0.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|28|4|21|0.19047619047619047|0|1|0|9|0|0.4
Alessandro_Volta|Is Volta buried in the city of Pittsburgh?|1|Yes/No|no|CLS|1|0|1|0|0|0.0|1.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|1|0|1|0.0|0|0|0|1|0|0.0
Alessandro_Volta|Is Volta buried in the city of Pittsburgh?|1|Yes/No|no|CLS|1|0|1|0|0|0.0|1.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|1|0|1|0.0|0|0|0|1|0|0.0
Alessandro_Volta|Did Volta have a passion for the study of electricity?|1|Yes/No|yes| His promotion of it was so extensive that he is often credited with its invention|1|0|1|0|0.18181818181818182|0.0|0.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|15|3|15|0.2|1|1|1|9|0|0.8
Alessandro_Volta|Did Volta have a passion for the study of electricity?|1|Yes/No|yes| His promotion of it was so extensive that he is often credited with its invention|1|0|1|0|0.18181818181818182|0.0|0.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|15|3|15|0.2|1|1|1|9|0|0.8
Alessandro_Volta|What is the battery made by Volta credited to be?|0|What/Where/Who|the first cell| one of the first electrochemical cells|0|0|1|1|0.8333333333333333|0.2857142857142857|0.16666666666666663|0.6666666666666666|3|1|3|0.3333333333333333|0|0|1|3|0|0.2|6|1|6|0.16666666666666666|0|0|1|6|0|0.4
Alessandro_Volta|What is the battery made by Volta credited to be?|0|What/Where/Who|the first cell| one of the first electrochemical cells|0|0|1|1|0.8333333333333333|0.2857142857142857|0.16666666666666663|0.6666666666666666|3|1|3|0.3333333333333333|0|0|1|3|0|0.2|6|1|6|0.16666666666666666|0|0|1|6|0|0.4
Alessandro_Volta|What important electrical unit was named in honor of Volta?|0|What/Where/Who|the volt| Electrophorus voltai|0|0|1|1|0.6363636363636364|0.0|0.0|0.0|2|1|2|0.5|0|0|0|2|0|0.0|2|1|2|0.5|0|0|1|3|0|0.2
Alessandro_Volta|What important electrical unit was named in honor of Volta?|0|What/Where/Who|volt| Electrophorus voltai|0|0|1|1|0.4210526315789474|0.0|0.0|0.0|1|1|1|1.0|0|0|0|1|0|0.0|2|1|2|0.5|0|0|1|3|0|0.2
