article_name|machine_question|human_question|is_yes_no_machine_question|type_machine_question|is_yes_no_human_question|type_human_question|match_yes_no_type_question|match_type_question|f1_char_score|jaccard_similarity|jaccard_similarity_bigrams|overlap_coefficient
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Volta an Italian physicist?|0|When/Why|1|Yes/No|0|0|0.742857142857143|0.08333333333333337|0.0|0.2
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Volta an Italian physicist?|0|When/Why|1|Yes/No|0|0|0.742857142857143|0.08333333333333337|0.0|0.2
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Is Volta buried in the city of Pittsburgh?|0|When/Why|1|Yes/No|0|0|0.7317073170731707|0.06666666666666665|0.0|0.125
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Is Volta buried in the city of Pittsburgh?|0|When/Why|1|Yes/No|0|0|0.7317073170731707|0.06666666666666665|0.0|0.125
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Did Volta have a passion for the study of electricity?|0|When/Why|1|Yes/No|0|0|0.8|0.125|0.0|0.25
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Did Volta have a passion for the study of electricity?|0|When/Why|1|Yes/No|0|0|0.8|0.125|0.0|0.25
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What is the battery made by Volta credited to be?|0|When/Why|0|What/Where/Who|1|0|0.7567567567567567|0.05882352941176472|0.0|0.125
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What is the battery made by Volta credited to be?|0|When/Why|0|What/Where/Who|1|0|0.7567567567567567|0.05882352941176472|0.0|0.125
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What important electrical unit was named in honor of Volta?|0|When/Why|0|What/Where/Who|1|0|0.8500000000000001|0.05882352941176472|0.0|0.125
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What important electrical unit was named in honor of Volta?|0|When/Why|0|What/Where/Who|1|0|0.8500000000000001|0.05882352941176472|0.0|0.125
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Where did Volta enter retirement?|0|When/Why|0|What/Where/Who|1|0|0.8235294117647058|0.18181818181818177|0.0|0.4
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Where did Volta enter retirement?|0|When/Why|0|What/Where/Who|1|0|0.8235294117647058|0.18181818181818177|0.0|0.4
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Is it a disadvantage for something to be unsafe to handle?|0|When/Why|1|Yes/No|0|0|0.717948717948718|0.0|0.0|0.0
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Is it a disadvantage for something to be unsafe to handle?|0|When/Why|1|Yes/No|0|0|0.717948717948718|0.0|0.0|0.0
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Lombardy under Napoleon's rule in 1800?|0|When/Why|1|Yes/No|0|0|0.6666666666666666|0.0|0.0|0.0
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Lombardy under Napoleon's rule in 1800?|0|When/Why|1|Yes/No|0|0|0.6666666666666666|0.0|0.0|0.0
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was the Italian 10.000 lira banknote created before the euro?|0|When/Why|1|Yes/No|0|0|0.7142857142857143|0.0|0.0|0.0
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was the Italian 10.000 lira banknote created before the euro?|0|When/Why|1|Yes/No|0|0|0.7142857142857143|0.0|0.0|0.0
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Alessandro Volta a professor of chemistry?|0|When/Why|1|Yes/No|0|0|0.8500000000000001|0.15384615384615385|0.0|0.2857142857142857
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Alessandro Volta a professor of chemistry?|0|When/Why|1|Yes/No|0|0|0.8500000000000001|0.15384615384615385|0.0|0.2857142857142857
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Did Alessandro Volta invent the remotely operated pistol?|0|When/Why|1|Yes/No|0|0|0.8205128205128205|0.23076923076923073|0.0|0.375
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Did Alessandro Volta invent the remotely operated pistol?|0|When/Why|1|Yes/No|0|0|0.8205128205128205|0.23076923076923073|0.0|0.375
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Alessandro Volta taught in public schools?|0|When/Why|1|Yes/No|0|0|0.9|0.15384615384615385|0.0|0.2857142857142857
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Was Alessandro Volta taught in public schools?|0|When/Why|1|Yes/No|0|0|0.9|0.15384615384615385|0.0|0.2857142857142857
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Who did Alessandro Volta marry?|0|When/Why|0|What/Where/Who|1|0|0.8648648648648649|0.30000000000000004|0.09999999999999998|0.6
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|Who did Alessandro Volta marry?|0|When/Why|0|What/Where/Who|1|0|0.8648648648648649|0.30000000000000004|0.09999999999999998|0.6
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What did Alessandro Volta invent in 1800?|0|When/Why|0|What/Where/Who|1|0|0.8205128205128205|0.25|0.08333333333333337|0.42857142857142855
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What did Alessandro Volta invent in 1800?|0|When/Why|0|What/Where/Who|1|0|0.8205128205128205|0.25|0.08333333333333337|0.42857142857142855
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What is the battery made by Alessandro Volta credited as?|0|When/Why|0|What/Where/Who|1|0|0.8205128205128205|0.125|0.0|0.25
Alessandro_Volta|When did Alessandro Giuseppe Antonio Anastasio Volta die?|What is the battery made by Alessandro Volta credited as?|0|When/Why|0|What/Where/Who|1|0|0.8205128205128205|0.125|0.0|0.25
